ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1805222,MapQuest,201.0,2,2018-10-05 08:57:02,2018-10-05 09:26:46,42.379185,-87.914337,,,0.0,Accident on US-41 Skokie Hwy Southbound at Kilbourne Rd.,35711.0,N Skokie Hwy,L,Gurnee,Lake,IL,60031,US,US/Central,KUGN,2018-10-05 08:55:00,55.0,,93.0,30.01,5.0,ESE,9.2,0.06,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1484373,MapQuest,339.0,3,2019-04-22 10:01:41,2019-04-22 12:49:55,40.126484,-86.51786,,,19.3999996185,One lane blocked due to jackknifed vehicle on I-65 Southbound from Exit 158 IN-28 to Exit 146 IN-47.,,W State Road 47,R,Thorntown,Boone,IN,46071,US,US/Eastern,KTYQ,2019-04-22 09:55:00,58.0,58.0,59.0,29.19,10.0,SSE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1865827,MapQuest,201.0,2,2018-09-04 18:13:54,2018-09-04 18:43:43,33.87854,-81.217079,,,0.0,Accident on SC-6 Lake Dr at Pleasant View Dr.,2501.0,S Lake Dr,R,Lexington,Lexington,SC,29073-7767,US,US/Eastern,KCAE,2018-09-04 17:56:00,91.0,,53.0,30.13,10.0,SE,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2861959,Bing,,2,2017-01-27 13:46:42,2017-01-27 19:46:42,39.97149,-83.119,39.97525,-83.11573,0.312,Ramp to I-70 Eb - Accident.,,Outerbelt N,R,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,2017-01-27 13:50:00,30.2,21.3,69.0,29.87,10.0,West,10.4,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1141066,MapQuest,201.0,2,2019-11-20 22:44:27,2019-11-20 23:59:20,34.230511,-118.402161,,,0.0,Accident on Laurel Canyon Blvd both ways at Allegheny St.,12262.0,Allegheny St,L,Sun Valley,Los Angeles,CA,91352-2404,US,US/Pacific,KBUR,2019-11-20 22:53:00,53.0,53.0,66.0,28.92,10.0,SSE,6.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3260766,Bing,,2,2020-10-02 22:03:00,2020-10-03 00:45:00,33.92017,-84.320636,33.91787,-84.291726,1.665,Incident on I-285 EB near CHAMBLEE DUNWOODY Right lane blocked. Expect delays.,,GA-407 E,R,Atlanta,DeKalb,GA,30319,US,US/Eastern,KPDK,2020-10-02 21:53:00,57.0,57.0,59.0,29.05,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-753831,MapQuest,201.0,2,2020-05-27 11:33:41,2020-05-27 12:18:28,34.34602,-89.521187,,,0.0,Accident on Lamar Blvd at Harlan Dr.,2405.0,S Lamar Blvd,R,Oxford,Lafayette,MS,38655-5348,US,US/Central,KUOX,2020-05-27 11:35:00,77.0,77.0,65.0,29.44,9.0,S,9.0,0.0,Light Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1402628,MapQuest,241.0,2,2019-05-13 16:26:46,2019-05-13 17:43:37,28.359764,-81.365097,,,0.0,Lane blocked due to accident on Brook Hollow Dr at Landstar Blvd.,,Brook Hollow Dr,R,Orlando,Orange,FL,32824,US,US/Eastern,KMCO,2019-05-13 16:28:00,72.0,72.0,91.0,29.82,7.0,W,10.0,0.03,T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2176989,MapQuest,241.0,3,2018-04-09 12:27:08,2018-04-09 12:56:49,37.088989,-76.458557,,,0.0,Lane blocked and left hand shoulder blocked due to accident on I-64 Westbound before Exits 258A 258B US-17 J Clyde Morris Blvd.,,I-64 W,R,Newport News,Newport News,VA,23601,US,US/Eastern,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-152944,MapQuest,201.0,3,2016-09-15 04:20:32,2016-09-15 05:05:32,33.639172,-81.740425,,,0.0,Accident an animal involved on I-20 Eastbound at Exit 18 SC-19 Edgefield Hwy.,,Edgefield Hwy,R,Aiken,Aiken,SC,29801,US,US/Eastern,KAIK,2016-09-15 04:15:00,68.0,,100.0,30.09,10.0,North,3.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3474533,Bing,,2,2020-05-03 20:00:00,2020-05-03 20:59:00,39.7704,-111.48725,39.7704,-111.48725,0.0,At Nebo Creek Trl - Accident.,,US-89 N,R,Fairview,Sanpete,UT,84629,US,US/Mountain,KPUC,2020-05-03 19:53:00,62.0,62.0,37.0,24.08,10.0,NW,21.0,0.0,Partly Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1414061,MapQuest,201.0,3,2019-05-18 06:04:45,2019-05-18 10:20:12,29.772346,-95.365982,,,0.0,Right and center lane blocked and right hand shoulder blocked due to accident on I-10 Westbound at Louisiana St.,,I-45 N,R,Houston,Harris,TX,77002,US,US/Central,KMCJ,2019-05-18 05:53:00,78.0,78.0,84.0,29.74,10.0,SSE,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-3799636,Bing,,2,2019-10-10 19:35:00,2019-10-10 20:08:10,33.288848,-117.225431,33.288848,-117.225431,0.0,At Camino Del Rey - Accident.,,Olive Hill Rd,R,Bonsall,San Diego,CA,92003,US,US/Pacific,KNFG,2019-10-10 19:55:00,63.0,63.0,75.0,29.8,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-2458007,MapQuest,201.0,2,2017-12-28 07:36:59,2017-12-28 08:06:39,41.925556,-88.111938,,,0.0,Accident on Kimberly Dr at Mission St.,797.0,Kimberly Dr,L,Carol Stream,Dupage,IL,60188-9407,US,US/Central,KDPA,2017-12-28 07:52:00,3.0,-4.4,80.0,30.67,7.0,South,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-58121,MapQuest,201.0,3,2016-12-21 17:40:28,2016-12-21 18:25:10,34.049313,-117.305252,,,0.01,#1 lane blocked due to accident on I-215 Southbound before Exit 39 Washington St.,,I-215 S,R,Colton,San Bernardino,CA,92324,US,US/Pacific,KSBD,2016-12-21 17:39:00,55.4,,89.0,30.0,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1901938,MapQuest,201.0,2,2018-09-21 17:47:38,2018-09-21 18:17:16,43.084862,-77.511642,,,0.0,Accident on NY-96 Jefferson Rd near Jefferson Cir.,99.0,E Jefferson Cir,R,Pittsford,Monroe,NY,14534-2209,US,US/Eastern,KROC,2018-09-21 17:54:00,88.0,,49.0,29.68,10.0,WSW,17.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4099719,Bing,,2,2018-01-24 18:57:58,2018-01-25 00:57:58,37.846089,-122.48667,37.842838,-122.485852,0.229,At Sausalito Lateral Rd - Accident.,,US-101 S,R,Sausalito,Marin,CA,94965,US,US/Pacific,KSFO,2018-01-24 18:56:00,51.1,,86.0,29.99,10.0,ESE,9.2,0.05,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-712252,MapQuest,201.0,2,2020-08-01 16:08:55,2020-08-01 18:02:12,38.415878,-105.031013,,,0.0,Right lane blocked due to accident on US-50 Westbound at Fremont St.,,US-50 W,R,Penrose,Fremont,CO,81240,US,US/Mountain,K1V6,2020-08-01 16:10:00,88.0,88.0,22.0,24.71,10.0,ESE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2374662,MapQuest,201.0,2,2018-01-16 15:35:31,2018-01-16 16:20:21,36.204391,-86.595749,,,0.0,Accident on Dutchmans Dr at Albany Dr.,687.0,Dutchmans Dr,L,Hermitage,Davidson,TN,37076-2349,US,US/Central,KBNA,2018-01-16 15:53:00,16.0,7.4,59.0,30.61,10.0,NNW,5.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-389428,MapQuest,201.0,2,2017-03-08 22:57:18,2017-03-08 23:26:51,30.275248,-97.729591,,,0.0,Accident on 15th St between Olander St and Waller St.,1001.0,E 15th St,R,Austin,Travis,TX,78702-1026,US,US/Central,KATT,2017-03-08 22:51:00,69.1,,81.0,30.18,10.0,South,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2295677,MapQuest,201.0,2,2018-02-05 08:25:31,2018-02-05 08:56:00,39.934433,-105.090698,,,0.0,Accident on US-287 at Miramonte Blvd.,1900.0,Miramonte Blvd,L,Broomfield,Broomfield,CO,80020,US,US/Mountain,KBJC,2018-02-05 08:25:00,46.4,38.5,50.0,29.87,25.0,WSW,21.9,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1745217,MapQuest,201.0,3,2018-11-07 05:19:24,2018-11-07 05:49:00,33.941204,-117.555847,,,0.0,Right hand shoulder blocked and slow lane blocked due to accident on I-15 Southbound before Exit 100 6th St.,,I-15 S,R,Norco,Riverside,CA,92860,US,US/Pacific,KAJO,2018-11-07 04:56:00,57.0,,87.0,30.02,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3951625,Bing,,2,2018-12-21 22:38:00,2018-12-21 23:37:00,40.74509,-111.72865,40.74743,-111.72362,0.309,At UT-65/Exit 134 - Accident.,,I-80 W,R,Salt Lake City,Salt Lake,UT,84108,US,US/Mountain,KSLC,2018-12-21 22:24:00,33.1,23.9,96.0,30.03,1.0,NW,12.7,0.04,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3572890,Bing,,2,2020-03-10 19:17:00,2020-03-10 21:50:16,44.14848,-93.79733,44.14848,-93.79733,0.0,At MN-60/T-325 - Accident.,,US-14 W,R,Eagle Lake,Blue Earth,MN,56024,US,US/Central,KMKT,2020-03-10 19:20:00,32.0,26.0,100.0,29.03,0.5,ENE,6.0,0.01,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1786752,MapQuest,241.0,2,2018-11-27 09:58:36,2018-11-27 10:28:13,32.766403,-96.914665,,,0.0,One lane blocked due to accident on TX-12 Loop Southbound at I-30 Tom Landry Fwy.,,Loop 12 N,R,Dallas,Dallas,TX,75212,US,US/Central,KDAL,2018-11-27 09:53:00,50.0,,44.0,30.22,10.0,SW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1628092,MapQuest,201.0,2,2019-01-08 06:03:44,2019-01-08 07:03:26,34.428631,-80.741127,,,0.0,Accident on River Rd at Running Fox Rd.,2498.0,Running Fox Rd,R,Camden,Kershaw,SC,29020-9162,US,US/Eastern,KCDN,2019-01-08 05:55:00,51.8,,94.0,30.16,8.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-2392410,MapQuest,201.0,2,2018-01-26 08:40:26,2018-01-26 09:25:16,35.160187,-80.920982,,,0.0,Accident on Adare Mews Rd at Beam Rd.,2302.0,Beam Rd,R,Charlotte,Mecklenburg,NC,28217,US,US/Eastern,KCLT,2018-01-26 08:52:00,37.9,,65.0,30.67,9.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-753673,MapQuest,201.0,2,2020-05-27 14:57:23,2020-05-27 15:57:13,30.451469,-91.12104,,,0.0,Accident on US-190-BR Florida Blvd at Alello Dr.,,Alello Dr,R,Baton Rouge,East Baton Rouge,LA,70806,US,US/Central,KBTR,2020-05-27 14:53:00,83.0,83.0,60.0,29.8,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2659013,MapQuest,201.0,2,2017-08-03 08:00:51,2017-08-03 08:45:15,30.395247,-91.109673,,,0.0,Accident on Essen Ln at LA-427 Perkins Rd.,,Perkins Rd,R,Baton Rouge,East Baton Rouge,LA,70808,US,US/Central,KBTR,2017-08-03 07:53:00,73.9,,91.0,30.04,10.0,East,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3200056,Bing,,2,2020-12-04 01:13:00,2020-12-04 04:14:16,37.693822,-122.456052,37.694224,-122.455195,0.054,Incident on E MARKET ST EB near PRICE ST Drive with caution.,1137.0, E Market St,R,Daly City,San Mateo,CA,94014,US,US/Pacific,KSFO,2020-12-04 00:56:00,49.0,49.0,66.0,30.29,9.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1481535,MapQuest,201.0,2,2019-04-19 13:10:06,2019-04-19 16:39:38,38.516178,-90.548553,,,0.0,Left hand shoulder blocked due to accident on I-44 Eastbound at Exit 269 Antire Rd.,,I-44 E,R,High Ridge,St. Louis County,MO,63049,US,US/Central,KSUS,2019-04-19 12:54:00,52.0,52.0,57.0,29.33,10.0,N,17.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2460030,MapQuest,201.0,2,2017-12-29 12:10:22,2017-12-29 12:55:00,41.259647,-96.000046,,,0.0,Accident on Happy Hollow Blvd at US-6 Dodge St.,5561.0,Dodge St,L,Omaha,Douglas,NE,68132-2833,US,US/Central,KOMA,2017-12-29 12:11:00,17.1,6.6,77.0,30.2,2.5,East,8.1,0.0,Light Freezing Drizzle,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1171546,MapQuest,201.0,2,2019-09-18 19:25:34,2019-09-18 20:29:06,34.295261,-80.549423,,,0.0,Accident on Cheraw Rd at US-1.,800.0,Cheraw Rd,L,Cassatt,Kershaw,SC,29032-9306,US,US/Eastern,KCDN,2019-09-18 19:35:00,77.0,77.0,47.0,29.78,10.0,NNE,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-986527,MapQuest,201.0,2,2019-12-29 21:59:36,2019-12-29 22:29:23,35.278908,-80.793503,,,0.0,Accident on I-85 Northbound at Exit 41 Sugar Creek Rd.,,W Sugar Creek Rd,R,Charlotte,Mecklenburg,NC,28206,US,US/Eastern,KCLT,2019-12-29 21:52:00,67.0,67.0,90.0,29.05,10.0,S,15.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1474029,MapQuest,241.0,3,2019-04-16 08:06:32,2019-04-16 09:07:22,35.725182,-81.637466,,,0.0,One lane blocked due to accident on I-40 Eastbound at Exit 106 Bethel Rd.,,I-40 E,R,Morganton,Burke,NC,28655,US,US/Eastern,KMRN,2019-04-16 08:00:00,43.0,43.0,88.0,28.92,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1986829,MapQuest,201.0,3,2018-07-02 04:53:10,2018-07-02 05:37:54,32.496681,-93.75985,,,0.0,Accident on I-20 Westbound at Exits 17A 17B I-49.,,I-20 W,R,Shreveport,Caddo,LA,71103,US,US/Central,KDTN,2018-07-02 04:53:00,81.0,,79.0,29.97,10.0,SW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1215708,MapQuest,201.0,3,2019-09-13 14:53:43,2019-09-13 15:23:08,41.123661,-112.022896,,,0.0,Center lane blocked due to accident on I-15 Southbound near Exit 335 UT-103 650.,,E 650 N,R,Clearfield,Davis,UT,84015,US,US/Mountain,KHIF,2019-09-13 14:58:00,74.0,74.0,22.0,25.38,10.0,W,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1531526,MapQuest,241.0,2,2019-03-19 11:32:07,2019-03-19 14:04:39,34.242748,-119.190849,,,0.0,Lane blocked due to accident on US-101 Southbound at Exit 63 Johnson Dr.,,CA-1 S,R,Ventura,Ventura,CA,93003,US,US/Pacific,KOXR,2019-03-19 11:51:00,57.9,,81.0,29.99,4.0,South,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3874793,Bing,,3,2019-09-08 14:15:40,2019-09-08 14:45:01,44.86161,-93.274529,44.86213,-93.25458,0.978,At 12th Ave/Portland Ave/Exit 3 - Accident.,,I-494 E,R,Minneapolis,Hennepin,MN,55420,US,US/Central,KMSP,2019-09-08 13:53:00,58.0,58.0,87.0,29.23,10.0,ENE,10.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1544062,MapQuest,201.0,2,2019-03-26 17:00:16,2019-03-26 20:40:35,30.182705,-97.541168,,,0.0,Accident on Wolf Ln at TX-71.,5383.0,Highway 71 E,R,Del Valle,Travis,TX,78617,US,US/Central,KAUS,2019-03-26 16:53:00,78.1,,37.0,30.21,10.0,NE,9.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1260123,MapQuest,201.0,3,2019-07-08 12:46:03,2019-07-08 14:15:42,35.533199,-97.512093,,,0.0,Accident on I-44 Service Rd Eastbound at 59th St.,6000.0,N Santa Fe Ave,R,Oklahoma City,Oklahoma,OK,73105,US,US/Central,KPWA,2019-07-08 12:53:00,86.0,86.0,59.0,28.59,10.0,S,9.0,0.0,Fair,False,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day
A-354106,MapQuest,201.0,3,2017-02-17 16:43:25,2017-02-17 17:12:38,26.655329,-80.069389,,,0.01,Accident on I-95 Southbound at Exit 66 FL-882 Forest Hill Blvd.,,I-95 N,R,West Palm Beach,Palm Beach,FL,33405,US,US/Eastern,KPBI,2017-02-17 16:53:00,73.0,,51.0,30.06,10.0,SE,12.7,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-982537,MapQuest,241.0,2,2020-01-03 17:25:58,2020-01-03 18:26:18,34.153332,-118.65255,,,0.0,#1 lane blocked due to accident on US-101 Eastbound at Parkway Calabasas.,,US-101 N,R,Calabasas,Los Angeles,CA,91302,US,US/Pacific,KVNY,2020-01-03 17:51:00,65.0,65.0,39.0,29.37,10.0,W,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1752221,MapQuest,201.0,3,2018-11-10 15:58:51,2018-11-10 16:43:18,33.547577,-86.7491,,,0.0,One lane blocked and right hand shoulder blocked due to accident on I-20 Westbound at Exits 130 130A 130B I-59.,,I-59 N,R,Birmingham,Jefferson,AL,35212,US,US/Central,KBHM,2018-11-10 15:53:00,46.0,40.6,47.0,30.32,10.0,North,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2131176,MapQuest,241.0,3,2018-05-16 13:21:08,2018-05-16 13:50:49,37.089104,-76.459023,,,2.67000007629,Lane blocked due to accident on I-64 Eastbound between Exits 256A 256B VA-171 Victory Blvd and Exits 258A 258B US-17 J Clyde Morris Blvd.,,I-64 E,R,Newport News,Newport News,VA,23601,US,US/Eastern,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2900982,Bing,,4,2017-04-05 21:29:40,2017-04-06 03:29:40,34.777136,-85.54143,34.865372,-85.517249,6.249,Closed at GA-136/Exit 11 - Road closed due to accident.,,I-59 N,R,Rising Fawn,Dade,GA,30738,US,US/Central,K4A9,2017-04-05 21:35:00,60.8,,48.0,29.7,10.0,WNW,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-3197517,Bing,,2,2020-10-24 11:53:00,2020-10-24 13:13:23,35.280629,-112.786256,35.272479,-112.749956,2.124,Incident on I-40 EB near I-40 BUS Left lane blocked.,,I-40 E,R,Ash Fork,Yavapai,AZ,86320,US,US/Mountain,KCMR,2020-10-24 11:57:00,61.0,61.0,39.0,23.27,10.0,SSW,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-107777,MapQuest,201.0,2,2016-05-19 10:49:54,2016-05-19 11:19:54,34.135731,-117.58519,,,0.0,Left hand shoulder blocked due to accident on CA-210 Westbound after Exit 59 Haven Ave.,,Foothill Fwy W,R,Rancho Cucamonga,San Bernardino,CA,91737,US,US/Pacific,KONT,2016-05-19 10:53:00,64.9,,70.0,29.9,4.0,Variable,3.5,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-285627,MapQuest,222.0,3,2016-09-19 18:02:21,2016-09-19 18:47:21,32.847778,-96.879265,,,0.0,Queueing traffic due to accident on I-35E Southbound at Exits 436A 436B TX-12 Loop Northwest Hwy.,,US-77 S,R,Dallas,Dallas,TX,75220,US,US/Central,KDAL,2016-09-19 17:53:00,98.1,,39.0,29.92,10.0,ESE,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-357487,MapQuest,201.0,2,2017-03-14 07:10:01,2017-03-14 07:39:46,25.736317,-80.165298,,,0.01,Accident on FL-913 Rickenbacker Cswy near Arthur Lamb Jr Rd.,,Rickenbacker Cswy,R,Key Biscayne,Miami-Dade,FL,33149,US,US/Eastern,KMIA,2017-03-14 06:53:00,70.0,,90.0,29.9,10.0,SW,8.1,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
